Block Name,BlockMap Name,BlockMap Description,BlockMap is default,BlockMap Address Offset,BlockMap Address Mode,BlockMap Word Bytes,BlockMap Endian,BlockMap Instance Name,BlockMap Instance Address,BlockMap Instance Access
cdma_reg_block,bus_map,,,,,,,CDMA_CR_h,0x0,RW
cdma_reg_block,bus_map,,,,,,,CDMA_SR_h,0x4,RO
cdma_reg_block,bus_map,,,,,,,CURDESC_PNTR_h,0x8,RW
cdma_reg_block,bus_map,,,,,,,CURDESC_PNTR_MSB_h,0xC,RW
cdma_reg_block,bus_map,,,,,,,TAILDESC_PNTR_h,0x10,RW
cdma_reg_block,bus_map,,,,,,,TAILDESC_PNTR_MSB_h,0x14,RW
cdma_reg_block,bus_map,,,,,,,SA_h,0x18,RW
cdma_reg_block,bus_map,,,,,,,SA_MSB_h,0x1C,RW
cdma_reg_block,bus_map,,,,,,,DA_h,0x20,RW
cdma_reg_block,bus_map,,,,,,,DA_MSB_h,0x24,RW
cdma_reg_block,bus_map,,,,,,,BTT_h,0x28,RW
